class id,label,r,g,b
0,House_Sparrow,31,119,180
1,Blue_Tit,174,199,232
2,Starling,255,127,14
3,Wood_Pigeon,255,187,120
4,Blackbird,44,160,44
5,Robin,152,223,138
6,Goldfinch,214,39,40
7,Great_Tit,255,152,150
8,Magpie,148,103,189
9,Long_Tailed_Tit,197,176,213
10,Chaffinch,140,86,75
11,Dunnock,196,156,148
12,Jackdaw,227,119,194
13,Feral_Pigeon,247,182,210
14,Collared_Dove,127,127,127
15,Carrion_Crow,199,199,199
16,Coal_Tit,188,189,34
17,Greenfinch,219,219,141
18,Wren,23,190,207
19,Song_Thrush,158,218,229
